"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 14:58:45 GMT 2024","Tue Feb 27 14:58:45 GMT 2024","218","Settings","Compliance Document","Get Documents","","","Successful - Get Documents",""
"passed","Tue Feb 27 14:58:57 GMT 2024","Tue Feb 27 14:58:57 GMT 2024","184","Settings","Custom Payout","Fetch Custom Payout","","","Successful - Fetch Custom Payout",""
"passed","Tue Feb 27 14:59:01 GMT 2024","Tue Feb 27 14:59:02 GMT 2024","133","Payout","Request OTP for Payout","","","","Empty Business Id Field - Request OTP for Payout",""
"failed","Tue Feb 27 14:58:58 GMT 2024","Tue Feb 27 14:58:58 GMT 2024","118","Settings","Update Business Logo","","","","Successful - Update Business Logo",""
"passed","Tue Feb 27 14:58:14 GMT 2024","Tue Feb 27 14:58:14 GMT 2024","150","Virtual Accounts","Get Account","","","","Invalid Account Ref - Get Account",""
"passed","Tue Feb 27 14:57:58 GMT 2024","Tue Feb 27 14:57:58 GMT 2024","132","Expense Management","Fetch Expense Account Details","","","","Non existing Expense Account - Fetch Expense Account Detaiis",""
"passed","Tue Feb 27 14:58:20 GMT 2024","Tue Feb 27 14:58:21 GMT 2024","222","Profile","2FA","Disable 2fa","","","Successful - Disable 2fa",""
"passed","Tue Feb 27 14:58:03 GMT 2024","Tue Feb 27 14:58:03 GMT 2024","157","Customers","Add Wallet To Customer","","","","Invalid Customer Ref - Add Wallet to Customer -",""
"failed","Tue Feb 27 14:58:32 GMT 2024","Tue Feb 27 14:58:32 GMT 2024","262","Bills","Get business billing","","","","Get business billing - No Auth Key",""
"passed","Tue Feb 27 14:58:48 GMT 2024","Tue Feb 27 14:58:48 GMT 2024","96","Settings","Approval Workflow Engine Copy","","","","Process Approval Workflow",""
"passed","Tue Feb 27 14:59:10 GMT 2024","Tue Feb 27 14:59:10 GMT 2024","133","Notifications","Send sms notification","","","","Empty Receiver Field - Send sms notification Copy",""
"passed","Tue Feb 27 14:58:12 GMT 2024","Tue Feb 27 14:58:12 GMT 2024","145","Invoice","Vendor Invoice","Fetch Single Invoice","","","Successful - Fetch Single Invoice",""
"failed","Tue Feb 27 14:59:12 GMT 2024","Tue Feb 27 14:59:12 GMT 2024","139","Notifications","Verify OTP","","","","Invalid OTP - Verify OTP Copy",""
"failed","Tue Feb 27 14:58:41 GMT 2024","Tue Feb 27 14:58:41 GMT 2024","201","Bills","Upload Bill Supporting Documents","","","","Upload Bill Supporting Documents -no file uploaded",""
"failed","Tue Feb 27 14:58:31 GMT 2024","Tue Feb 27 14:58:32 GMT 2024","215","Bills","Get business billing","","","","Get business billing - Successful",""
"passed","Tue Feb 27 14:59:07 GMT 2024","Tue Feb 27 14:59:07 GMT 2024","133","Payout","edit bulk payout","","","","Empty Account Name Field - Edit Bulk Payout",""
"passed","Tue Feb 27 14:57:24 GMT 2024","Tue Feb 27 14:57:25 GMT 2024","176","Authentication","Sign-up","","","","Existing Email - Sign-up",""
"passed","Tue Feb 27 14:58:17 GMT 2024","Tue Feb 27 14:58:18 GMT 2024","118","Profile","Profile","Update Profile","","","Empty User ID Field - Update Profile Copy 2","As an authenticated user(merchant) you can update your profile"
"passed","Tue Feb 27 14:57:43 GMT 2024","Tue Feb 27 14:57:43 GMT 2024","209","Business","Wallets","P2P Transfer","","","Empty Business ID Field - P2P Transfer",""
"failed","Tue Feb 27 14:58:25 GMT 2024","Tue Feb 27 14:58:25 GMT 2024","228","Recipients","Fetch Recipients","","","","fetch recipients-No Auth Key",""
"passed","Tue Feb 27 14:58:20 GMT 2024","Tue Feb 27 14:58:20 GMT 2024","247","Profile","2FA","Verify 2fa Setup","","","Invalid Email - Verify 2fa Setup",""
"passed","Tue Feb 27 14:58:04 GMT 2024","Tue Feb 27 14:58:04 GMT 2024","139","Customers","Update Customer","","","","Invalid Email - Update Customer",""
"passed","Tue Feb 27 14:57:30 GMT 2024","Tue Feb 27 14:57:31 GMT 2024","574","Business","Bank Accounts","Create Bank Account","","","Successful - Create Bank Account",""
"passed","Tue Feb 27 14:57:56 GMT 2024","Tue Feb 27 14:57:56 GMT 2024","429","Expense Management","Edit Expense Account","","","","Allow Payout When Limit is Exceeded - Edit Expense Account",""
"passed","Tue Feb 27 14:58:14 GMT 2024","Tue Feb 27 14:58:15 GMT 2024","272","Virtual Accounts","Get Providers","","","","Successful - Get Providers",""
"passed","Tue Feb 27 14:58:08 GMT 2024","Tue Feb 27 14:58:08 GMT 2024","139","Invoice","Fetch Business Invoices","","","","Invalid Business ID - Fetch Business Invoices",""
"passed","Tue Feb 27 14:57:41 GMT 2024","Tue Feb 27 14:57:41 GMT 2024","258","Business","Wallets","Get Wallets","","","Successful - Get Wallets",""
"passed","Tue Feb 27 14:57:35 GMT 2024","Tue Feb 27 14:57:35 GMT 2024","241","Business","Utilities","Get Business","","","Successful - Get Business",""
"passed","Tue Feb 27 14:58:16 GMT 2024","Tue Feb 27 14:58:16 GMT 2024","129","Virtual Accounts","Update Account","","","","Empty Email Field - Update Account",""
"passed","Tue Feb 27 14:57:51 GMT 2024","Tue Feb 27 14:57:51 GMT 2024","134","Transactions","Download Transactions","","","","Empty Email Field - Download transaction",""
"passed","Tue Feb 27 14:58:12 GMT 2024","Tue Feb 27 14:58:12 GMT 2024","138","Invoice","Vendor Invoice","Invoice Approval","","","Empty Vendor Ref Field - Invoice Approval",""
"passed","Tue Feb 27 14:58:25 GMT 2024","Tue Feb 27 14:58:25 GMT 2024","259","Recipients","Recipient summary","","","","recipients summary",""
"failed","Tue Feb 27 14:58:43 GMT 2024","Tue Feb 27 14:58:43 GMT 2024","374","Bills","Fetch Bills By Recipient","","","","Fetch Bills - Invalid recipient",""
"passed","Tue Feb 27 14:59:05 GMT 2024","Tue Feb 27 14:59:05 GMT 2024","325","Payout","fetch bulk payout list","","","","Successful - Fetch Bulk Payout List",""
"passed","Tue Feb 27 14:58:24 GMT 2024","Tue Feb 27 14:58:24 GMT 2024","129","Recipients","Add recipient","","","","add recipient-Empty Phone number",""
"passed","Tue Feb 27 14:57:59 GMT 2024","Tue Feb 27 14:58:01 GMT 2024","1743","Customers","Create Customers","","","","Successful - Create Customer",""
"passed","Tue Feb 27 14:58:51 GMT 2024","Tue Feb 27 14:58:52 GMT 2024","178","Settings","Api Key","","","","Regenerate api key",""
"passed","Tue Feb 27 14:59:03 GMT 2024","Tue Feb 27 14:59:03 GMT 2024","130","Payout","Schedule payment","","","","Empty Duration Field - Schedule payment",""
"failed","Tue Feb 27 14:58:41 GMT 2024","Tue Feb 27 14:58:41 GMT 2024","226","Bills","Pay Bill","","","","Pay Bill - no payment date",""
"passed","Tue Feb 27 14:57:31 GMT 2024","Tue Feb 27 14:57:31 GMT 2024","156","Business","Bank Accounts","Create Bank Account","","","Invalid Business ID - Create Bank",""
"passed","Tue Feb 27 14:57:30 GMT 2024","Tue Feb 27 14:57:30 GMT 2024","130","Overview","Withdraw","","","","Invalid Account Number - Withdraw",""
"passed","Tue Feb 27 14:58:34 GMT 2024","Tue Feb 27 14:58:34 GMT 2024","160","Bills","Add default billings","","","","Add default billings - Invalid band fees",""
"failed","Tue Feb 27 14:58:39 GMT 2024","Tue Feb 27 14:58:39 GMT 2024","116","Bills","Create Bill","","","","Create Bill - No Auth key",""
"passed","Tue Feb 27 14:57:35 GMT 2024","Tue Feb 27 14:57:36 GMT 2024","181","Business","Utilities","Get Business","","","Invalid Business ID - Get Business",""
"passed","Tue Feb 27 14:58:16 GMT 2024","Tue Feb 27 14:58:16 GMT 2024","133","Virtual Accounts","Update Account","","","","Empty Account Name Field - Update Account",""
"passed","Tue Feb 27 14:58:52 GMT 2024","Tue Feb 27 14:58:52 GMT 2024","268","Settings","Api Key","","","","Delete Api key",""
"passed","Tue Feb 27 14:59:09 GMT 2024","Tue Feb 27 14:59:09 GMT 2024","149","Notifications","Send Email Notification","","","","Empty Receiver Email Field - Send Email Notification",""
"failed","Tue Feb 27 14:58:37 GMT 2024","Tue Feb 27 14:58:38 GMT 2024","116","Bills","Create Bill","","","","Create Bill - no invoice number",""
"passed","Tue Feb 27 14:58:47 GMT 2024","Tue Feb 27 14:58:47 GMT 2024","97","Settings","Approval Workflow Engine Copy","","","","Fetch Approval Workflows By Business ID",""
"passed","Tue Feb 27 14:58:55 GMT 2024","Tue Feb 27 14:58:55 GMT 2024","177","Settings","Preferences","Get business Preferences","","","Successful - Get Business Preferences",""
"passed","Tue Feb 27 14:58:08 GMT 2024","Tue Feb 27 14:58:09 GMT 2024","152","Invoice","Send Invoice Reminder","","","","Invalid Endpoint - Send Invoice Reminder",""
"passed","Tue Feb 27 14:58:16 GMT 2024","Tue Feb 27 14:58:16 GMT 2024","150","Virtual Accounts","Update Account","","","","Invalid Email - Update Account",""
"passed","Tue Feb 27 14:59:03 GMT 2024","Tue Feb 27 14:59:03 GMT 2024","127","Payout","Schedule payment","","","","Empty Start Date Field - Schedule payment",""
"passed","Tue Feb 27 14:57:43 GMT 2024","Tue Feb 27 14:57:43 GMT 2024","459","Business","Wallets","Sweep/Bulk Customer to Master transfer","","","Successful - Sweep/Bulk Customer to Master transfer",""
"passed","Tue Feb 27 14:57:35 GMT 2024","Tue Feb 27 14:57:35 GMT 2024","119","Business","Utilities","Verify Account Number","","","Empty Fields - Verify Account Number",""
"failed","Tue Feb 27 14:58:35 GMT 2024","Tue Feb 27 14:58:36 GMT 2024","344","Bills","Add default billings","","","","Add default billings - negative fixed value_failed",""
"passed","Tue Feb 27 14:57:58 GMT 2024","Tue Feb 27 14:57:59 GMT 2024","485","Expense Management","Deactivate Expense account","","","","Deactivate Expense Account - Successful",""
"passed","Tue Feb 27 14:58:16 GMT 2024","Tue Feb 27 14:58:17 GMT 2024","152","Virtual Accounts","Delete Account","","","","Invalid Business ID - Delete Account",""
"failed","Tue Feb 27 14:58:16 GMT 2024","Tue Feb 27 14:58:16 GMT 2024","151","Virtual Accounts","Delete Account","","","","Successful - Delete Account",""
"passed","Tue Feb 27 14:57:29 GMT 2024","Tue Feb 27 14:57:30 GMT 2024","822","Overview","Withdraw","","","","Successful - Withdraw",""
"failed","Tue Feb 27 14:58:06 GMT 2024","Tue Feb 27 14:58:06 GMT 2024","157","Invoice","Edit Draft Invoice","","","","Successful - Edit Draft Invoice",""
"passed","Tue Feb 27 14:58:11 GMT 2024","Tue Feb 27 14:58:11 GMT 2024","139","Invoice","Vendor Invoice","Fetch Vendor Invoices","","","Without Start Date - Fetch Vendor Invoices",""
"passed","Tue Feb 27 14:58:14 GMT 2024","Tue Feb 27 14:58:14 GMT 2024","261","Virtual Accounts","Create Account","","","","Invalid Business ID - Create Account",""
"passed","Tue Feb 27 14:58:55 GMT 2024","Tue Feb 27 14:58:55 GMT 2024","278","Settings","Preferences","Create Business Preference","","","Non Existing Business ID - Create business preference",""
"passed","Tue Feb 27 14:57:37 GMT 2024","Tue Feb 27 14:57:37 GMT 2024","253","Business","Utilities","Create Business","","","Existing Legal Business Name - Create Business",""
"passed","Tue Feb 27 14:57:27 GMT 2024","Tue Feb 27 14:57:27 GMT 2024","177","Request Account Activation","","","","","Invalid Business ID - Request Account Activation -",""
"passed","Tue Feb 27 14:57:25 GMT 2024","Tue Feb 27 14:57:25 GMT 2024","131","Authentication","Resend email verification","","","","Invalid email - Resend email verification",""
"passed","Tue Feb 27 14:57:59 GMT 2024","Tue Feb 27 14:57:59 GMT 2024","438","Expense Management","Get Expense Account Summary","","","","Successfully - Get Expense Accounts Summary",""
"passed","Tue Feb 27 14:58:21 GMT 2024","Tue Feb 27 14:58:21 GMT 2024","317","Profile","2FA","Disable 2fa","","","Invalid Email - Disable 2fa",""
"passed","Tue Feb 27 14:59:08 GMT 2024","Tue Feb 27 14:59:08 GMT 2024","152","Payout","Process Bulk Payout","","","","Empty Batch Payout Ref Field - Process Bulk Payout",""
"passed","Tue Feb 27 14:58:27 GMT 2024","Tue Feb 27 14:58:27 GMT 2024","238","Recipients","Delete recipient","","","","delete recipient-Already deleted recipient",""
"passed","Tue Feb 27 14:58:12 GMT 2024","Tue Feb 27 14:58:12 GMT 2024","143","Invoice","Vendor Invoice","Fetch Single Invoice","","","Invalid Business ID - Fetch Single Invoice",""
"passed","Tue Feb 27 14:58:16 GMT 2024","Tue Feb 27 14:58:16 GMT 2024","128","Virtual Accounts","Update Account","","","","Empty Business ID Field - Update Account",""
"passed","Tue Feb 27 14:59:07 GMT 2024","Tue Feb 27 14:59:07 GMT 2024","129","Payout","edit bulk payout","","","","Empty Payout ID Field - Edit Bulk Payout",""
"failed","Tue Feb 27 14:58:28 GMT 2024","Tue Feb 27 14:58:29 GMT 2024","250","Approvals","","","","","Approvals-No Auth Key",""
"passed","Tue Feb 27 14:57:31 GMT 2024","Tue Feb 27 14:57:31 GMT 2024","155","Business","Bank Accounts","Create Bank Account","","","Invalid Business Account Number - Create Bank",""
"passed","Tue Feb 27 14:59:03 GMT 2024","Tue Feb 27 14:59:03 GMT 2024","129","Payout","Schedule payment","","","","Empty Frequency Field - Schedule payment",""
"passed","Tue Feb 27 14:58:50 GMT 2024","Tue Feb 27 14:58:50 GMT 2024","231","Settings","User Management","","","","Update User Details",""
"passed","Tue Feb 27 14:57:45 GMT 2024","Tue Feb 27 14:57:45 GMT 2024","279","Transactions","List Transactions","","","","By Amount - List Transactions",""
"failed","Tue Feb 27 14:58:33 GMT 2024","Tue Feb 27 14:58:34 GMT 2024","424","Bills","Add default billings","","","","Add default billings - invalid fee structure_failed",""
"passed","Tue Feb 27 14:58:02 GMT 2024","Tue Feb 27 14:58:02 GMT 2024","211","Customers","Fetch Customer","","","","Successful - Fetch Customer",""
"passed","Tue Feb 27 14:57:47 GMT 2024","Tue Feb 27 14:57:48 GMT 2024","710","Transactions","List Transactions","","","","By Category - List Transactions",""
"passed","Tue Feb 27 14:57:32 GMT 2024","Tue Feb 27 14:57:32 GMT 2024","152","Business","Bank Accounts","Update Bank Account","","","Invalid Business ID - Update bank account",""
"passed","Tue Feb 27 14:58:07 GMT 2024","Tue Feb 27 14:58:07 GMT 2024","151","Invoice","Resend Invoice","","","","Invalid Invoice ID - Resend Invoice",""
"passed","Tue Feb 27 14:58:04 GMT 2024","Tue Feb 27 14:58:04 GMT 2024","162","Customers","Update Customer","","","","Invalid Business ID - Update Customer",""
